Area,Years,Quarter,Revenue
United States and Canada,2018,Q1,1976157000
"Europe,  Middle East and Africa",2018,Q1,886649000
Latin America,2018,Q1,540182000
Asia-Pacific,2018,Q1,199117000
United States and Canada,2018,Q2,2049546000
"Europe,  Middle East and Africa",2018,Q2,975497000
Latin America,2018,Q2,568071000
Asia-Pacific,2018,Q2,221252000
United States and Canada,2018,Q3,2094850000
"Europe,  Middle East and Africa",2018,Q3,1004749000
Latin America,2018,Q3,562307000
Asia-Pacific,2018,Q3,248691000
United States and Canada,2018,Q4,2160979000
"Europe,  Middle East and Africa",2018,Q4,1096812000
Latin America,2018,Q4,567137000
Asia-Pacific,2018,Q4,276756000
United States and Canada,2019,Q1,2256851000
"Europe,  Middle East and Africa",2019,Q1,1233379000
Latin America,2019,Q1,630472000
Asia-Pacific,2019,Q1,319602000
United States and Canada,2019,Q2,2501199000
"Europe,  Middle East and Africa",2019,Q2,1319087000
Latin America,2019,Q2,677136000
Asia-Pacific,2019,Q2,349494000
United States and Canada,2019,Q3,2621250000
"Europe,  Middle East and Africa",2019,Q3,1428040000
Latin America,2019,Q3,741434000
Asia-Pacific,2019,Q3,382304000
United States and Canada,2019,Q4,2671908000
"Europe,  Middle East and Africa",2019,Q4,1562561000
Latin America,2019,Q4,746392000
Asia-Pacific,2019,Q4,418121000
United States and Canada,2020,Q1,2702776000
"Europe,  Middle East and Africa",2020,Q1,1723474000
Latin America,2020,Q1,793453000
Asia-Pacific,2020,Q1,483660000
United States and Canada,2020,Q2,2839670000
"Europe,  Middle East and Africa",2020,Q2,1892537000
Latin America,2020,Q2,785368000
Asia-Pacific,2020,Q2,569140000
United States and Canada,2020,Q3,2933450000
"Europe,  Middle East and Africa",2020,Q3,2019080000
Latin America,2020,Q3,789379000
Asia-Pacific,2020,Q3,634889000
United States and Canada,2020,Q4,2979510000
"Europe,  Middle East and Africa",2020,Q4,2137160000
Latin America,2020,Q4,788519000
Asia-Pacific,2020,Q4,684609000
