Country,Subscribers_2019,Subscribers_2020
United States,61043000,195515694.4
Brazil,15000000,51047835.14
United Kingdom,13010000,45853160.83
Mexico,6783000,23083831.05
France,6700000,23613849.16
Canada,6619000,21200111.09
Germany,6400000,22556512.63
Australia,4900000,19654500.15
Argentina ,4500000,15314350.54
Spain,3000000,10573365.29
Japan,3000000,12033367.44
Netherlands,2800000,9868474.27
South Korea,2720000,10910253.14
New Zealand,2420000,9706916.4
Sweden,2100000,7401355.71
India,2000000,8022244.96
Italy,2000000,7048910.2
Turkey,1500000,5286682.65
Norway,1000000,3524455.1
Poland,775000,2731452.7
Chile,769000,2617052.35
UAE,322000,1134874.54
Costa Rica,242000,823571.74
