Country,Films,Shows
Albania,"1,519",723
Argentina,"2,394",640
Australia,"3,615","1,734"
Austria,"2,690","1,188"
Azerbaijan,"1,390",727
Bahamas,"1,535",699
Belgium,"2,777","1,344"
Bolivia,"2,252","1,355"
Brazil,"2,893","1,315"
Bulgaria,"1,520",730
Canada,"4,043","1,687"
Chile,"2,930","1,351"
Colombia,"2,932","1,350"
Costa Rica,"3,091","1,024"
Croatia,"3,153","1,499"
Czech Republic,"3,413","1,651"
Denmark,"2,462","1,063"
Ecuador,"2,836",934
Egypt,"1,605",889
Estonia,"3,012","1,327"
Finland,"2,357",992
France,"2,639","1,339"
Georgia,"1,388",728
Germany,"2,763","1,232"
Greece,"3,022","1,416"
Guatemala,"3,093","1,024"
Hong Kong,"2,534","1,327"
Hungary,"3,409","1,653"
Iceland,"3,160","1,621"
India,"3,781","1,810"
Indonesia,"3,248","1,436"
Ireland,"3,708","1,538"
Israel,"2,948","1,445"
Italy,"2,452","1,074"
Japan,"3,518","1,547"
Kenya,"3,134","1,478"
Latvia,"3,083","1,494"
Lithuania,"3,192","1,649"
Luxembourg,"3,126","1,408"
Malaysia,"3,387","1,511"
Mexico,"2,958","1,358"
Moldova,"1,414",731
Netherlands,"2,550","1,105"
New Zealand,"3,206","1,429"
Norway,"2,437",766
Panama,"1,535",699
Peru,"3,094","1,024"
Philippines,"3,371","1,542"
Poland,"2,317","1,081"
Portugal,"2,063","1,079"
Romania,"3,222","1,464"
Russia,"3,253","1,645"
Serbia,"1,612",727
Singapore,"3,150","1,618"
Slovakia,"3,419","1,658"
Slovenia,"2,618","1,180"
South Africa,"3,278","1,709"
South Korea,"2,838","1,227"
Spain,"2,359","1,163"
Sweden,"2,481","1,098"
Switzerland,"3,109","1,484"
Taiwan,"2,367","1,244"
Thailand,"3,273","1,591"
Turkey,"1,878",634
UAE,"2,020",886
Ukraine,"3,147","1,493"
United Kingdom,"3,831","1,842"
United States,"4,035","1,844"
Uruguay,"2,972","1,243"
Venezuela,"3,144","1,036"
